title,memory_capacity,memory_frequency,memory_type,manufacturer,gpu_name,gpu_frequency,min_price,max_price,img_url,reference_url
Gigabyte GeForce RTX 3090 GAMING OC 24G,24 ГБ,19500 МГц,GDDR6X,NVIDIA,NVIDIA GeForce RTX 3090,1755 МГц,80141,80141,https://s.ek.ua/jpg/1864263.jpg,https://ek.ua/ua/ua/GIGABYTE-GEFORCE-RTX-3090-GAMING-OC-24G.htm
Gigabyte GeForce GTX 1650 D6 OC 4G,4 ГБ,12000 МГц,GDDR6,NVIDIA,NVIDIA GeForce GTX 1650,1635 МГц,12567,12567,https://s.ek.ua/jpg/1776001.jpg,https://ek.ua/ua/ua/GIGABYTE-GEFORCE-GTX-1650-D6-OC-4G.htm
MSI GeForce RTX 3060 VENTUS 3X 12G OC,12 ГБ,15000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060,1807 МГц,32259,32259,https://s.ek.ua/jpg/1941014.jpg,https://ek.ua/ua/ua/MSI-GEFORCE-RTX-3060-VENTUS-3X-12G-OC.htm
AFOX Radeon RX 550 AFRX550-4096D5H4-V5,4 ГБ,6000 МГц,GDDR5,AMD,AMD Radeon RX 550,1183 МГц,6617,7523,https://s.ek.ua/jpg/2018120.jpg,https://ek.ua/ua/ua/AFOX-RADEON-RX-550-AFRX550-4096D5H4-V5.htm
Asus GeForce RTX 3070 Ti TUF Gaming OC,8 ГБ,19000 МГц,GDDR6X,NVIDIA,NVIDIA GeForce RTX 3070 Ti,1815 МГц,43499,43740,https://s.ek.ua/jpg/2037926.jpg,https://ek.ua/ua/ua/ASUS-GEFORCE-RTX-3070-TI-TUF-GAMING-OC.htm
Asus GeForce RTX 3080 Ti TUF Gaming OC,12 ГБ,19000 МГц,GDDR6X,NVIDIA,NVIDIA GeForce RTX 3080 Ti,1785 МГц,72499,80828,https://s.ek.ua/jpg/2038294.jpg,https://ek.ua/ua/ua/ASUS-GEFORCE-RTX-3080-TI-TUF-GAMING-OC.htm
Asus GeForce RTX 3060 Ti Dual V2 OC LHR,8 ГБ,14000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060 Ti,1740 МГц,29754,35999,https://s.ek.ua/jpg/2077940.jpg,https://ek.ua/ua/ua/ASUS-GEFORCE-RTX-3060-TI-DUAL-V2-OC-LHR.htm
Asus Radeon RX 6600 XT Dual OC,8 ГБ,16000 МГц,GDDR6,AMD,AMD Radeon RX 6600 XT,2607 МГц,24626,26757,https://s.ek.ua/jpg/2073266.jpg,https://ek.ua/ua/ua/ASUS-RADEON-RX-6600-XT-DUAL-OC.htm
Gigabyte GeForce RTX 3060 AORUS ELITE LHR 12G,12 ГБ,15000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060,1867 МГц,25502,29632,https://s.ek.ua/jpg/2055195.jpg,https://ek.ua/ua/ua/GIGABYTE-GEFORCE-RTX-3060-AORUS-ELITE-LHR-12G.htm
MSI GeForce RTX 3060 GAMING X TRIO 12G,12 ГБ,15000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060,1852 МГц,27999,29661,https://s.ek.ua/jpg/1941005.jpg,https://ek.ua/ua/ua/MSI-GEFORCE-RTX-3060-GAMING-X-TRIO-12G.htm
Asus GeForce RTX 3070 ROG STRIX V2 OC LHR,8 ГБ,14000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3070,1935 МГц,37638,37638,https://s.ek.ua/jpg/2052990.jpg,https://ek.ua/ua/ua/ASUS-GEFORCE-RTX-3070-ROG-STRIX-V2-OC-LHR.htm
Palit GeForce RTX 3070 JetStream OC,8 ГБ,14000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3070,1815 МГц,36818,42892,https://s.ek.ua/jpg/1896783.jpg,https://ek.ua/ua/ua/PALIT-GEFORCE-RTX-3070-JETSTREAM-OC.htm
Gigabyte GeForce RTX 3080 GAMING OC LHR 10G,10 ГБ,19000 МГц,GDDR6X,NVIDIA,NVIDIA GeForce RTX 3080,1800 МГц,48276,58225,https://s.ek.ua/jpg/2055614.jpg,https://ek.ua/ua/ua/GIGABYTE-GEFORCE-RTX-3080-GAMING-OC-LHR-10G.htm
ASRock Radeon RX 6900 XT Phantom Gaming D 16G OC,16 ГБ,16000 МГц,GDDR6,AMD,AMD Radeon RX 6900 XT,2340 МГц,58000,58006,https://s.ek.ua/jpg/1924771.jpg,https://ek.ua/ua/ua/ASROCK-RADEON-RX-6900-XT-PHANTOM-GAMING-D-16G-OC.htm
MSI GeForce RTX 3070 GAMING Z TRIO 8G LHR,8 ГБ,14000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3070,1845 МГц,36250,43065,https://s.ek.ua/jpg/2053193.jpg,https://ek.ua/ua/ua/MSI-GEFORCE-RTX-3070-GAMING-Z-TRIO-8G-LHR.htm
Biostar Radeon RX 560 VA5615RF41,4 ГБ,6000 МГц,GDDR5,AMD,AMD Radeon RX 560,1275 МГц,7695,8787,https://s.ek.ua/jpg/2038285.jpg,https://ek.ua/ua/ua/BIOSTAR-RADEON-RX-560-VA5615RF41.htm
ZOTAC GeForce RTX 3060 Twin Edge OC,12 ГБ,15000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060,1807 МГц,27780,32699,https://s.ek.ua/jpg/1973546.jpg,https://ek.ua/ua/ua/ZOTAC-GEFORCE-RTX-3060-TWIN-EDGE-OC.htm
Asus GeForce RTX 3080 ROG STRIX V2 Gaming OC LHR,10 ГБ,19500 МГц,GDDR6X,NVIDIA,NVIDIA GeForce RTX 3080,1935 МГц,54000,54000,https://s.ek.ua/jpg/2052932.jpg,https://ek.ua/ua/ua/ASUS-GEFORCE-RTX-3080-ROG-STRIX-V2-GAMING-OC-LHR.htm
PowerColor Radeon RX 6600 XT Hellhound,8 ГБ,16000 МГц,GDDR6,AMD,AMD Radeon RX 6600 XT,2593 МГц,24626,25731,https://s.ek.ua/jpg/2077947.jpg,https://ek.ua/ua/ua/POWERCOLOR-RADEON-RX-6600-XT-HELLHOUND.htm
MSI GeForce GTX 1660 VENTUS XS 6G,6 ГБ,8000 МГц,GDDR5,NVIDIA,NVIDIA GeForce GTX 1660,1785 МГц,21850,21850,https://s.ek.ua/jpg/1540603.jpg,https://ek.ua/ua/ua/MSI-GEFORCE-GTX-1660-VENTUS-XS-6G.htm
Asus Radeon RX 580 DUAL-RX580-O8G,8 ГБ,8000 МГц,GDDR5,AMD,AMD Radeon RX 580,1380 МГц,19100,19100,https://s.ek.ua/jpg/1097011.jpg,https://ek.ua/ua/ua/ASUS-RADEON-RX-580-DUAL-RX580-O8G.htm
PowerColor Radeon RX 6600 XT Red Devil,8 ГБ,16000 МГц,GDDR6,AMD,AMD Radeon RX 6600 XT,2607 МГц,24750,25699,https://s.ek.ua/jpg/2077946.jpg,https://ek.ua/ua/ua/POWERCOLOR-RADEON-RX-6600-XT-RED-DEVIL.htm
Palit GeForce RTX 3070 JetStream OC V1 LHR,8 ГБ,14000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3070,1815 МГц,35999,45650,https://s.ek.ua/jpg/2053229.jpg,https://ek.ua/ua/ua/PALIT-GEFORCE-RTX-3070-JETSTREAM-OC-V1-LHR.htm
Gigabyte GeForce RTX 3060 Ti AORUS ELITE LHR 8G,8 ГБ,14000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060 Ti,1785 МГц,31887,31887,https://s.ek.ua/jpg/2055446.jpg,https://ek.ua/ua/ua/GIGABYTE-GEFORCE-RTX-3060-TI-AORUS-ELITE-LHR-8G.htm
MSI GeForce RTX 3060 VENTUS 2X 12G OC,12 ГБ,15000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060,1807 МГц,27699,27699,https://s.ek.ua/jpg/1941016.jpg,https://ek.ua/ua/ua/MSI-GEFORCE-RTX-3060-VENTUS-2X-12G-OC.htm
Asus GeForce RTX 3060 TUF Gaming V2 OC LHR,12 ГБ,15000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060,1882 МГц,26487,33213,https://s.ek.ua/jpg/2047918.jpg,https://ek.ua/ua/ua/ASUS-GEFORCE-RTX-3060-TUF-GAMING-V2-OC-LHR.htm
Asus Radeon RX 6700 XT ROG STRIX Gaming OC,12 ГБ,16000 МГц,GDDR6,AMD,AMD Radeon RX 6700 XT,2622 МГц,36900,36906,https://s.ek.ua/jpg/2014630.jpg,https://ek.ua/ua/ua/ASUS-RADEON-RX-6700-XT-ROG-STRIX-GAMING-OC.htm
XFX Radeon RX 6600 XT RX-66XT8DFDQ,8 ГБ,16000 МГц,GDDR6,AMD,AMD Radeon RX 6600 XT,2589 МГц,28340,30235,https://s.ek.ua/jpg/2114901.jpg,https://ek.ua/ua/ua/XFX-RADEON-RX-6600-XT-RX-66XT8DFDQ.htm
Gainward GeForce RTX 3060 Pegasus,12 ГБ,15000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060,1777 МГц,26000,26006,https://s.ek.ua/jpg/1964712.jpg,https://ek.ua/ua/ua/GAINWARD-GEFORCE-RTX-3060-PEGASUS.htm
Palit GeForce GTX 1660 Ti Dual OC,6 ГБ,12000 МГц,GDDR6,NVIDIA,NVIDIA GeForce GTX 1660 Ti,1815 МГц,21901,27690,https://s.ek.ua/jpg/1537882.jpg,https://ek.ua/ua/ua/PALIT-GEFORCE-GTX-1660-TI-DUAL-OC.htm
MSI GeForce RTX 3070 VENTUS 2X 8G OC LHR,8 ГБ,14000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3070,1755 МГц,32950,44660,https://s.ek.ua/jpg/2053196.jpg,https://ek.ua/ua/ua/MSI-GEFORCE-RTX-3070-VENTUS-2X-8G-OC-LHR.htm
Palit GeForce GTX 1660 Dual,6 ГБ,8000 МГц,GDDR5,NVIDIA,NVIDIA GeForce GTX 1660,1785 МГц,22627,22822,https://s.ek.ua/jpg/1540483.jpg,https://ek.ua/ua/ua/PALIT-GEFORCE-GTX-1660-DUAL.htm
MSI GeForce RTX 3080 Ti SUPRIM X 12G,12 ГБ,19000 МГц,GDDR6X,NVIDIA,NVIDIA GeForce RTX 3080 Ti,1845 МГц,73638,84645,https://s.ek.ua/jpg/2033765.jpg,https://ek.ua/ua/ua/MSI-GEFORCE-RTX-3080-TI-SUPRIM-X-12G.htm
Asus GeForce GTX 1060 Phoenix 3GB,3 ГБ,8008 МГц,GDDR5,NVIDIA,NVIDIA GeForce GTX 1060,1506 МГц,9150,9150,https://s.ek.ua/jpg/1090782.jpg,https://ek.ua/ua/ua/ASUS-GEFORCE-GTX-1060-PHOENIX-3GB.htm
MSI GeForce GTX 1660 SUPER VENTUS XS OC,6 ГБ,14000 МГц,GDDR6,NVIDIA,NVIDIA GeForce GTX 1660 SUPER,1815 МГц,24135,29033,https://s.ek.ua/jpg/1681945.jpg,https://ek.ua/ua/ua/MSI-GEFORCE-GTX-1660-SUPER-VENTUS-XS-OC.htm
Asus GeForce RTX 3060 Dual V2 OC LHR,12 ГБ,15000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060,1867 МГц,25758,27250,https://s.ek.ua/jpg/2066429.jpg,https://ek.ua/ua/ua/ASUS-GEFORCE-RTX-3060-DUAL-V2-OC-LHR.htm
Gigabyte GeForce RTX 3070 Ti GAMING OC 8G,8 ГБ,19000 МГц,GDDR6X,NVIDIA,NVIDIA GeForce RTX 3070 Ti,1830 МГц,43362,45999,https://s.ek.ua/jpg/2033483.jpg,https://ek.ua/ua/ua/GIGABYTE-GEFORCE-RTX-3070-TI-GAMING-OC-8G.htm
